scientific_name,state,presentation,n_CF,n_EU,n_nonEuropean,max_CF,min_CF,range
Zeus faber,Fresh,gutted,5,3,4,1.18,1.1,0.0799999999999998
Gadus morhua,Frozen,gutted,10,7,7,1.22,1.15,0.0700000000000001
Glyptocephalus cynoglossus,Fresh,gutted,12,9,9,1.11,1.04,0.0700000000000001
Glyptocephalus cynoglossus,Frozen,gutted,2,1,1,1.11,1.04,0.0700000000000001
Lepidorhombus whiffiagonis,Fresh,gutted,8,7,7,1.11,1.04,0.0700000000000001
Merlangius merlangus,Frozen,gutted,6,4,4,1.2,1.13,0.0700000000000001
Microstomus kitt,Fresh,gutted,11,8,8,1.11,1.04,0.0700000000000001
Microstomus kitt,Frozen,gutted,3,2,2,1.11,1.04,0.0700000000000001
Pleuronectiformes,Fresh,gutted,6,5,5,1.11,1.04,0.0700000000000001
Reinhardtius hippoglossoides,Frozen,Japanese cut,3,1,1,1.5,1.43,0.0700000000000001
Solea solea,Frozen,gutted,5,2,3,1.11,1.04,0.0700000000000001
Hippoglossus hippoglossus,Frozen,gutted,4,1,1,1.15,1.08,0.0699999999999998
Melanogrammus aeglefinus,Frozen,gutted headed tail off,2,2,2,1.67,1.6,0.0699999999999998
Scomber scombrus,Fresh,gutted,5,4,4,1.15,1.08,0.0699999999999998
Scomber scombrus,Frozen,gutted,6,5,5,1.15,1.08,0.0699999999999998
Scombroidei,Frozen,gutted headed tail off,2,1,2,1.4,1.33,0.0699999999999998
Alosa fallax,Fresh,gutted,2,2,2,1.1,1.04,0.0600000000000001
Alosa spp,Fresh,gutted,2,2,2,1.1,1.04,0.0600000000000001
Argentina spp,Fresh,gutted,2,2,2,1.1,1.04,0.0600000000000001
Gadus macrocephalus,Fresh,gutted,2,1,2,1.3,1.24,0.0600000000000001
Lepidorhombus spp,Fresh,gutted,3,3,3,1.11,1.05,0.0600000000000001
Limanda ferruginea,Fresh,gutted,2,2,2,1.11,1.05,0.0600000000000001
Micromesistius poutassou,Fresh,gutted,4,4,4,1.21,1.15,0.0600000000000001
Pleuronectes platessa,Fresh,gutted,13,9,9,1.11,1.05,0.0600000000000001
Pleuronectes platessa,Frozen,gutted,6,4,4,1.11,1.05,0.0600000000000001
Psette maxima,Fresh,gutted,11,8,8,1.11,1.05,0.0600000000000001
Rajiformes,Fresh,gutted,2,1,1,1.21,1.15,0.0600000000000001
Reinhardtius hippoglossoides,Fresh,gutted,10,6,7,1.11,1.05,0.0600000000000001
Thunnus alalunga,Frozen,gutted,2,2,2,1.29,1.23,0.0600000000000001
Trachurus trachurus,Frozen,gutted,2,1,1,1.15,1.09,0.0599999999999998
Coryphaenoides rupestris,Frozen,whole,6,5,5,1,0.95,0.05
Salmo spp,Fresh,gutted,2,1,2,1.2,1.15,0.05
Salmonoidei,Fresh,gutted,2,1,1,1.2,1.15,0.05
Hippoglossus hippoglossus,Fresh,gutted and headed,3,2,3,1.4,1.35,0.0499999999999998
Ammodytes spp,Fresh,gutted,3,2,2,1.04,1,0.04
Anarhichas lupus,Frozen,gutted and headed,2,1,1,1.69,1.65,0.04
Scyliorhinus spp,Fresh,gutted,2,1,1,1.37,1.33,0.04
Thunnus obesus,Frozen,gutted and headed,3,3,3,1.29,1.25,0.04
Trachurus trachurus,Frozen,gutted headed tail off,2,2,2,1.6,1.56,0.04
Phycis blennoides,Frozen,gutted,3,2,2,1.14,1.1,0.0399999999999998
