species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
RDQ,FRE_WHL,HCN,EUR,TOTAL,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,HCN,EUR_T,EU,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,HCN,EUR_T,MT,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,HCN,EUR_T,TOTAL,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,HCN,TPW,EU,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,HCN,TPW,MT,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,HCN,TPW,TOTAL,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,EUR,EU,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,EUR,MT,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,EUR,TOTAL,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,EUR_T,EU,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,EUR_T,MT,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,TPW,EU,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,TPW,MT,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,FRE_WHL,TOTAL,TPW,TOTAL,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,EUR,EU,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,EUR,MT,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,EUR,TOTAL,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,EUR_T,EU,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,EUR_T,MT,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,EUR_T,TOTAL,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,TPW,EU,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,TPW,MT,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,HCN,TPW,TOTAL,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,EUR,EU,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,EUR,MT,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,EUR,TOTAL,MT	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,EUR_T,EU,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,EUR_T,MT,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,EUR_T,TOTAL,MT	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,TPW,EU,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,TPW,MT,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RDQ,TOTAL,TOTAL,TPW,TOTAL,MT	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE,HCN,EUR,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE,HCN,EUR,EU,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE,HCN,EUR,MT,MT	: 	3817.9997 	6309.1658 	9913.8123 	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE,HCN,EUR,TOTAL,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE,HCN,EUR_T,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE,HCN,EUR_T,EU,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE,HCN,EUR_T,MT,MT	: 	2815.634 	2802.828 	2830.092 	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE,HCN,EUR_T,TOTAL,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE,HCN,TPW,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE,HCN,TPW,EU,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE,HCN,TPW,MT,MT	: 	1.356 	2.251 	3.503 	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE,HCN,TPW,TOTAL,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR,EU,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR,MT,MT	: 	3817.9997 	6309.1658 	9913.8123 	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR,TOTAL,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR_T,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR_T,EU,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR_T,MT,MT	: 	2815.634 	2802.828 	2830.092 	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE,TOTAL,EUR_T,TOTAL,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE,TOTAL,TPW,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE,TOTAL,TPW,EU,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE,TOTAL,TPW,MT,MT	: 	1.356 	2.251 	3.503 	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE,TOTAL,TPW,TOTAL,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR,EU,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR,MT,MT	: 	3817.9997 	6309.1658 	9913.8123 	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR,TOTAL,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR_T,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR_T,EU,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR_T,MT,MT	: 	2815.634 	2802.828 	2830.092 	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,EUR_T,TOTAL,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,TPW,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,TPW,EU,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,TPW,MT,MT	: 	1.356 	2.251 	3.503 	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE_WHL,HCN,TPW,TOTAL,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR,EU,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR,MT,MT	: 	3817.9997 	6309.1658 	9913.8123 	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR,TOTAL,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR_T,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR_T,EU,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR_T,MT,MT	: 	2815.634 	2802.828 	2830.092 	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,TPW,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,TPW,EU,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,TPW,MT,MT	: 	1.356 	2.251 	3.503 	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,FRE_WHL,TOTAL,TPW,TOTAL,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR,EU,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR,MT,MT	: 	3817.9997 	6309.1658 	9913.8123 	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR,TOTAL,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR_T,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR_T,EU,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR_T,MT,MT	: 	2815.634 	2802.828 	2830.092 	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,TOTAL,HCN,EUR_T,TOTAL,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,TOTAL,HCN,TPW,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,TOTAL,HCN,TPW,EU,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,TOTAL,HCN,TPW,MT,MT	: 	1.356 	2.251 	3.503 	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,TOTAL,HCN,TPW,TOTAL,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR,EU,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR,MT,MT	: 	3817.9997 	6309.1658 	9913.8123 	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR,TOTAL,MT	: 	3817.9997 	6309.1658 	: c	3882.3967 	1444.7475 	5531.358 	615.27 	: 	528.198 	2400 	12200.0933 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR_T,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR_T,EU,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR_T,MT,MT	: 	2815.634 	2802.828 	2830.092 	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,EUR_T,TOTAL,MT	: 	2815.634 	2802.828 	: c	1970 	1170 	3022.6 	2050.9 	: 	1166 	1000 	4880.0373 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,TPW,CY,MT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,TPW,EU,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,TPW,MT,MT	: 	1.356 	2.251 	3.503 	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJA,TOTAL,TOTAL,TPW,TOTAL,MT	: 	1.356 	2.251 	: c	1.9708 	1.2348 	1.83 	0.3 	: 	0.453 	2.4 	2.5 	: 	: 	: 	: 
RJB,FRE,HCN,EUR,EU,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,EUR,MT,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,EUR,TOTAL,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,EUR_T,EU,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,EUR_T,MT,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,EUR_T,TOTAL,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,TPW,EU,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,TPW,MT,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,HCN,TPW,TOTAL,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,EUR,EU,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,EUR,MT,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,EUR,TOTAL,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,EUR_T,EU,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,EUR_T,MT,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,EUR_T,TOTAL,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,TPW,EU,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,TPW,MT,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE,TOTAL,TPW,TOTAL,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,EUR,EU,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,EUR,MT,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,EUR,TOTAL,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,EUR_T,EU,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,EUR_T,MT,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,EUR_T,TOTAL,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,TPW,EU,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,TPW,MT,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,HCN,TPW,TOTAL,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,EUR,EU,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,EUR,MT,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,EUR,TOTAL,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,EUR_T,EU,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,EUR_T,MT,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,TPW,EU,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,TPW,MT,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,FRE_WHL,TOTAL,TPW,TOTAL,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,EUR,EU,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,EUR,MT,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,EUR,TOTAL,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,EUR_T,EU,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,EUR_T,MT,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,EUR_T,TOTAL,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,TPW,EU,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,TPW,MT,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,HCN,TPW,TOTAL,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,EUR,EU,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,EUR,MT,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,EUR,TOTAL,MT	: 	27 	: 	56 	: 	: 	: 	151.87 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,EUR_T,EU,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,EUR_T,MT,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,EUR_T,TOTAL,MT	: 	2700 	: 	2000 	: 	: 	: 	1518.7 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,TPW,EU,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,TPW,MT,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJB,TOTAL,TOTAL,TPW,TOTAL,MT	: 	0.01 	: 	0.028 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
RJC,FRE,HCN,EUR,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RJC,FRE,HCN,EUR,EU,MT	: c	5600.9996 	959.4138 	: 	17982.2647 	50962.6351 	58920 	48174.94 	6367.3107 	: 	: 	: 	: 	: 	: 	: 
RJC,FRE,HCN,EUR,MT,MT	41560.2194 	5600.9996 	959.4138 	: 	17982.2647 	50962.6351 	58920 	48174.94 	6367.3107 	: 	: 	: 	: 	: 	: 	: 
RJC,FRE,HCN,EUR,TOTAL,MT	: c	5600.9996 	959.4138 	: 	17982.2647 	50962.6351 	58920 	48174.94 	6367.3107 	: 	: 	: 	: 	: 	: 	: 
