species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
AJH,TOTAL,TOTAL,EUR_T,HR,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,TOTAL,TOTAL,EUR_T,TOTAL,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,TOTAL,TOTAL,TPW,EU,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,TOTAL,TOTAL,TPW,HR,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,TOTAL,TOTAL,TPW,TOTAL,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
ALB,FRE,HCN,EUR,EU,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE,HCN,EUR,HR,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE,HCN,EUR,TOTAL,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE,HCN,EUR_T,EU,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE,HCN,EUR_T,HR,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE,HCN,EUR_T,TOTAL,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE,HCN,TPW,EU,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE,HCN,TPW,HR,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE,HCN,TPW,TOTAL,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE,TOTAL,EUR,EU,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE,TOTAL,EUR,HR,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE,TOTAL,EUR,TOTAL,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE,TOTAL,EUR_T,EU,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE,TOTAL,EUR_T,HR,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE,TOTAL,EUR_T,TOTAL,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE,TOTAL,TPW,EU,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE,TOTAL,TPW,HR,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE,TOTAL,TPW,TOTAL,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE_WHL,HCN,EUR,EU,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE_WHL,HCN,EUR,HR,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE_WHL,HCN,EUR,TOTAL,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE_WHL,HCN,EUR_T,EU,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE_WHL,HCN,EUR_T,HR,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE_WHL,HCN,EUR_T,TOTAL,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE_WHL,HCN,TPW,EU,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE_WHL,HCN,TPW,HR,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE_WHL,HCN,TPW,TOTAL,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE_WHL,TOTAL,EUR,EU,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE_WHL,TOTAL,EUR,HR,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE_WHL,TOTAL,EUR,TOTAL,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,FRE_WHL,TOTAL,EUR_T,EU,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE_WHL,TOTAL,EUR_T,HR,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,FRE_WHL,TOTAL,TPW,EU,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE_WHL,TOTAL,TPW,HR,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,FRE_WHL,TOTAL,TPW,TOTAL,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,TOTAL,HCN,EUR,EU,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,TOTAL,HCN,EUR,HR,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,TOTAL,HCN,EUR,TOTAL,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,TOTAL,HCN,EUR_T,EU,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,TOTAL,HCN,EUR_T,HR,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,TOTAL,HCN,EUR_T,TOTAL,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,TOTAL,HCN,TPW,EU,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,TOTAL,HCN,TPW,HR,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,TOTAL,HCN,TPW,TOTAL,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,TOTAL,TOTAL,EUR,EU,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,TOTAL,TOTAL,EUR,HR,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
