species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
SJA,FRE_WHL,HCN,EUR,HR,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,FRE_WHL,HCN,EUR,TOTAL,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,FRE_WHL,HCN,EUR_T,EU,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,FRE_WHL,HCN,EUR_T,HR,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,FRE_WHL,HCN,EUR_T,TOTAL,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,FRE_WHL,HCN,TPW,EU,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,FRE_WHL,HCN,TPW,HR,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,FRE_WHL,HCN,TPW,TOTAL,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,FRE_WHL,TOTAL,EUR,EU,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,FRE_WHL,TOTAL,EUR,HR,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,FRE_WHL,TOTAL,EUR,TOTAL,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,FRE_WHL,TOTAL,EUR_T,EU,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,FRE_WHL,TOTAL,EUR_T,HR,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,FRE_WHL,TOTAL,TPW,EU,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,FRE_WHL,TOTAL,TPW,HR,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,FRE_WHL,TOTAL,TPW,TOTAL,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,TOTAL,HCN,EUR,EU,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,TOTAL,HCN,EUR,HR,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,TOTAL,HCN,EUR,TOTAL,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,TOTAL,HCN,EUR_T,EU,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,TOTAL,HCN,EUR_T,HR,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,TOTAL,HCN,EUR_T,TOTAL,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,TOTAL,HCN,TPW,EU,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,TOTAL,HCN,TPW,HR,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,TOTAL,HCN,TPW,TOTAL,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,TOTAL,TOTAL,EUR,EU,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,TOTAL,TOTAL,EUR,HR,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,TOTAL,TOTAL,EUR,TOTAL,HR	374717.4041 	514855.4458 	676726.5563 	745347.4358 	450309.226 	358958.3974 	165983.6874 	196231.2146 
SJA,TOTAL,TOTAL,EUR_T,EU,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,TOTAL,TOTAL,EUR_T,HR,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,TOTAL,TOTAL,EUR_T,TOTAL,HR	7616.2074 	7086.5161 	6875.9866 	6885.115 	6922.5401 	7333.1644 	7169.9217 	6613.7922 
SJA,TOTAL,TOTAL,TPW,EU,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,TOTAL,TOTAL,TPW,HR,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SJA,TOTAL,TOTAL,TPW,TOTAL,HR	49.2 	72.6528 	98.4188 	108.2549 	65.0497 	48.95 	23.15 	29.67 
SKA,FRE,HCN,EUR,EU,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE,HCN,EUR,HR,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE,HCN,EUR,TOTAL,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE,HCN,EUR_T,EU,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE,HCN,EUR_T,HR,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE,HCN,EUR_T,TOTAL,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE,HCN,TPW,EU,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE,HCN,TPW,HR,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE,HCN,TPW,TOTAL,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE,TOTAL,EUR,EU,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE,TOTAL,EUR,HR,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE,TOTAL,EUR,TOTAL,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE,TOTAL,EUR_T,EU,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE,TOTAL,EUR_T,HR,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE,TOTAL,EUR_T,TOTAL,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE,TOTAL,TPW,EU,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE,TOTAL,TPW,HR,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE,TOTAL,TPW,TOTAL,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE_WHL,HCN,EUR,EU,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE_WHL,HCN,EUR,HR,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE_WHL,HCN,EUR,TOTAL,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE_WHL,HCN,EUR_T,EU,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE_WHL,HCN,EUR_T,HR,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE_WHL,HCN,EUR_T,TOTAL,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE_WHL,HCN,TPW,EU,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE_WHL,HCN,TPW,HR,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE_WHL,HCN,TPW,TOTAL,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE_WHL,TOTAL,EUR,EU,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE_WHL,TOTAL,EUR,HR,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE_WHL,TOTAL,EUR,TOTAL,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,FRE_WHL,TOTAL,EUR_T,EU,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE_WHL,TOTAL,EUR_T,HR,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,FRE_WHL,TOTAL,TPW,EU,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE_WHL,TOTAL,TPW,HR,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,FRE_WHL,TOTAL,TPW,TOTAL,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,TOTAL,HCN,EUR,EU,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,TOTAL,HCN,EUR,HR,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,TOTAL,HCN,EUR,TOTAL,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,TOTAL,HCN,EUR_T,EU,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,TOTAL,HCN,EUR_T,HR,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,TOTAL,HCN,EUR_T,TOTAL,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,TOTAL,HCN,TPW,EU,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,TOTAL,HCN,TPW,HR,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,TOTAL,HCN,TPW,TOTAL,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,TOTAL,TOTAL,EUR,EU,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,TOTAL,TOTAL,EUR,HR,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,TOTAL,TOTAL,EUR,TOTAL,HR	254273.924 	251908.831 	227844.1451 	278172.2485 	311136.3914 	289356.1378 	172661.298 	199618.9035 
SKA,TOTAL,TOTAL,EUR_T,EU,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,TOTAL,TOTAL,EUR_T,HR,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,TOTAL,TOTAL,EUR_T,TOTAL,HR	2763.847 	2712.6519 	2672.064 	2793.7218 	2903.4816 	3431.643 	2782.6156 	3159.0268 
SKA,TOTAL,TOTAL,TPW,EU,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,TOTAL,TOTAL,TPW,HR,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SKA,TOTAL,TOTAL,TPW,TOTAL,HR	92 	92.8644 	85.269 	99.5705 	107.1598 	84.32 	62.05 	63.19 
SLM,FRE,HCN,EUR,EU,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE,HCN,EUR,HR,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE,HCN,EUR,TOTAL,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE,HCN,EUR_T,EU,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE,HCN,EUR_T,HR,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE,HCN,EUR_T,TOTAL,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE,HCN,TPW,EU,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE,HCN,TPW,HR,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE,HCN,TPW,TOTAL,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE,TOTAL,EUR,EU,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE,TOTAL,EUR,HR,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE,TOTAL,EUR,TOTAL,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE,TOTAL,EUR_T,EU,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE,TOTAL,EUR_T,HR,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE,TOTAL,EUR_T,TOTAL,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE,TOTAL,TPW,EU,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE,TOTAL,TPW,HR,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE,TOTAL,TPW,TOTAL,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE_WHL,HCN,EUR,EU,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE_WHL,HCN,EUR,HR,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE_WHL,HCN,EUR,TOTAL,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE_WHL,HCN,EUR_T,EU,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE_WHL,HCN,EUR_T,HR,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE_WHL,HCN,EUR_T,TOTAL,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE_WHL,HCN,TPW,EU,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE_WHL,HCN,TPW,HR,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE_WHL,HCN,TPW,TOTAL,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE_WHL,TOTAL,EUR,EU,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE_WHL,TOTAL,EUR,HR,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE_WHL,TOTAL,EUR,TOTAL,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,FRE_WHL,TOTAL,EUR_T,EU,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE_WHL,TOTAL,EUR_T,HR,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,FRE_WHL,TOTAL,TPW,EU,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE_WHL,TOTAL,TPW,HR,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,FRE_WHL,TOTAL,TPW,TOTAL,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,TOTAL,HCN,EUR,EU,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,TOTAL,HCN,EUR,HR,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,TOTAL,HCN,EUR,TOTAL,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,TOTAL,HCN,EUR_T,EU,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,TOTAL,HCN,EUR_T,HR,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,TOTAL,HCN,EUR_T,TOTAL,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,TOTAL,HCN,TPW,EU,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,TOTAL,HCN,TPW,HR,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,TOTAL,HCN,TPW,TOTAL,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,TOTAL,TOTAL,EUR,EU,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,TOTAL,TOTAL,EUR,HR,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,TOTAL,TOTAL,EUR,TOTAL,HR	181327.1197 	84335.4342 	132474.6974 	139135.0566 	151988.891 	177852.0241 	162196.7086 	222028.7431 
SLM,TOTAL,TOTAL,EUR_T,EU,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,TOTAL,TOTAL,EUR_T,HR,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,TOTAL,TOTAL,EUR_T,TOTAL,HR	3012.0784 	1670.1368 	2676.734 	2763.8599 	2599.3555 	3109.8448 	2512.7298 	3433.2572 
SLM,TOTAL,TOTAL,TPW,EU,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,TOTAL,TOTAL,TPW,HR,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLM,TOTAL,TOTAL,TPW,TOTAL,HR	60.2 	50.4961 	49.4912 	50.3409 	58.4718 	57.19 	64.55 	64.67 
SLO,FRE,HCN,EUR,EU,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE,HCN,EUR,HR,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE,HCN,EUR,TOTAL,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE,HCN,EUR_T,EU,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE,HCN,EUR_T,HR,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE,HCN,EUR_T,TOTAL,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE,HCN,TPW,EU,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE,HCN,TPW,HR,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE,HCN,TPW,TOTAL,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE,TOTAL,EUR,EU,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE,TOTAL,EUR,HR,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE,TOTAL,EUR,TOTAL,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE,TOTAL,EUR_T,EU,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE,TOTAL,EUR_T,HR,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE,TOTAL,EUR_T,TOTAL,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE,TOTAL,TPW,EU,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE,TOTAL,TPW,HR,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE,TOTAL,TPW,TOTAL,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE_WHL,HCN,EUR,EU,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE_WHL,HCN,EUR,HR,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE_WHL,HCN,EUR,TOTAL,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE_WHL,HCN,EUR_T,EU,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE_WHL,HCN,EUR_T,HR,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE_WHL,HCN,EUR_T,TOTAL,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE_WHL,HCN,TPW,EU,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE_WHL,HCN,TPW,HR,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE_WHL,HCN,TPW,TOTAL,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE_WHL,TOTAL,EUR,EU,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE_WHL,TOTAL,EUR,HR,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE_WHL,TOTAL,EUR,TOTAL,HR	308813.0815 	291599.7406 	330438.3632 	370509.8016 	349367.3599 	488192.3775 	386791.2045 	522189.8373 
SLO,FRE_WHL,TOTAL,EUR_T,EU,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE_WHL,TOTAL,EUR_T,HR,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	46091.5047 	41593.112 	42086.1243 	40129.2552 	36914.5434 	39055.3902 	37846.4975 	35211.722 
SLO,FRE_WHL,TOTAL,TPW,EU,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE_WHL,TOTAL,TPW,HR,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
SLO,FRE_WHL,TOTAL,TPW,TOTAL,HR	6.7 	7.0108 	7.8515 	9.2329 	9.4642 	12.5 	10.22 	14.83 
