species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
AMB,TOTAL,TOTAL,TPW,CY,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,TPW,EU,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,TPW,TOTAL,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
ANE,FRE,HCN,EUR,CY,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR,EU,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR,TOTAL,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR_T,CY,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR_T,EU,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR_T,TOTAL,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE,HCN,TPW,CY,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE,HCN,TPW,EU,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE,HCN,TPW,TOTAL,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,EUR,CY,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,EUR,EU,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,EUR,TOTAL,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,EUR_T,CY,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,EUR_T,EU,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,EUR_T,TOTAL,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,TPW,CY,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,TPW,EU,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,TPW,TOTAL,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,EUR,CY,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,EUR,EU,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,EUR,TOTAL,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,EUR_T,CY,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,EUR_T,EU,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,EUR_T,TOTAL,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,TPW,CY,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,TPW,EU,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,TPW,TOTAL,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,EUR,CY,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,EUR,EU,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,EUR,TOTAL,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,EUR_T,CY,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,EUR_T,EU,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,EUR_T,TOTAL,CY	: 	: 	: 	3008 	2501 	2750.1 	2750 	2670 	1700 	1710 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,TPW,CY,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,TPW,EU,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_WHL,TOTAL,TPW,TOTAL,CY	: 	: 	: 	1.2 	0.511 	6.2 	7.7 	1.2 	0.1 	0.1 	: 	: 	: 	: 	: 
ANE,TOTAL,HCN,EUR,CY,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,TOTAL,HCN,EUR,EU,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
ANE,TOTAL,HCN,EUR,TOTAL,CY	: 	: 	: 	3609.6 	1278.011 	17050.62 	21175 	3204 	170 	171 	: 	: 	: 	: 	: 
