species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ALF,FRO_WHL,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	1796.8025 	: 	: 	: 
ALF,FRO_WHL,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	1796.8025 	: 	: 	: 
ALF,FRO_WHL,HCN,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	63.7164 	: 	: 	: 
ALF,FRO_WHL,HCN,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	63.7164 	: 	: 	: 
ALF,FRO_WHL,HCN,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	63.7164 	: 	: 	: 
ALF,FRO_WHL,HCN,TPW,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	28.2 	: 	: 	: 
ALF,FRO_WHL,HCN,TPW,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	28.2 	: 	: 	: 
ALF,FRO_WHL,HCN,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	28.2 	: 	: 	: 
ALF,FRO_WHL,TOTAL,EUR,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	1796.8025 	: 	: 	: 
ALF,FRO_WHL,TOTAL,EUR,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	1796.8025 	: 	: 	: 
ALF,FRO_WHL,TOTAL,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	1796.8025 	: 	: 	: 
ALF,FRO_WHL,TOTAL,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	63.7164 	: 	: 	: 
ALF,FRO_WHL,TOTAL,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	63.7164 	: 	: 	: 
ALF,FRO_WHL,TOTAL,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	63.7164 	: 	: 	: 
ALF,FRO_WHL,TOTAL,TPW,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	28.2 	: 	: 	: 
ALF,FRO_WHL,TOTAL,TPW,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	28.2 	: 	: 	: 
ALF,FRO_WHL,TOTAL,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	28.2 	: 	: 	: 
ALF,TOTAL,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,TOTAL,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,TOTAL,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
