species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
ANF,FRE_GUH,HCN,EUR,DE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR,EU,BE	3791523.1 	5286289.1 	4397934.7 	3875772 	3595078 	5072826.4 	5375909 	4206584.5 	3313848.2 	2736727.4 	3320478 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR,NL,BE	: 	: 	: 	2136 	967.6 	: 	: 	: 	894.2 	351.2 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR,TOTAL,BE	3791523.1 	5286289.1 	4397934.7 	3875772 	3595078 	5072826.4 	5375909 	4206584.5 	3313848.2 	2736727.4 	3320478 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR,UK,BE	22908.8 	7450.1 	10993.6 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR_T,BE,BE	11341 	10371 	10349 	10680 	11052 	9778 	9317 	9817 	9687 	10146 	10830 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR_T,DE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR_T,EU,BE	11355.2653 	10371.3736 	10355.3913 	10671.1784 	11048.1807 	9778 	9317 	9817 	9683.9515 	10143.5411 	10830 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR_T,NL,BE	: 	: 	: 	4272 	4838 	: 	: 	: 	4471 	3512 	: 	6264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR_T,TOTAL,BE	11355.2653 	10371.3736 	10355.3913 	10671.1784 	11048.1807 	9778 	9317 	9817 	9683.9515 	10143.5411 	10830 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,EUR_T,UK,BE	14318 	10643 	13742 	: 	: 	: 	: 	: 	6530 	5440 	4846 	9970 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,TPW,BE,BE	332.3 	509 	423.9 	362.7 	325.2 	518.8 	577 	428.5 	342 	269.7 	306.6 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,TPW,DE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,TPW,EU,BE	333.9 	509.7 	424.7 	363.2 	325.4 	518.8 	577 	428.5 	342.2 	269.8 	306.6 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,TPW,NL,BE	: 	: 	: 	0.5 	0.2 	: 	: 	: 	0.2 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUH,HCN,TPW,TOTAL,BE	333.9 	509.7 	424.7 	363.2 	325.4 	518.8 	577 	428.5 	342.2 	269.8 	306.6 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
