species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ABZ,TOTAL,IND,TPW,PL,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,IND,TPW,TOTAL,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,EU,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,PL,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,TOTAL,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,EU,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,PL,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,TOTAL,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,EU,PL	481.425 	377.525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,PL,PL	481.425 	377.525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,TOTAL,PL	481.425 	377.525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACC,FRE,HCN,EUR,EU,PL	826.494 	: 	: 	12.906 	169.0613 	35.7356 	147.0834 	: 	137.6824 	: 	: 	: 	: 	: 
ACC,FRE,HCN,EUR,PL,PL	826.494 	: 	: 	12.906 	169.0613 	35.7356 	147.0834 	: 	137.6824 	: 	: 	: 	: 	: 
ACC,FRE,HCN,EUR,TOTAL,PL	826.494 	: 	: 	12.906 	169.0613 	35.7356 	147.0834 	: 	137.6824 	: 	: 	: 	: 	: 
ACC,FRE,HCN,EUR_T,EU,PL	137.749 	: 	: 	119.5 	119.7318 	119.1185 	119.4829 	: 	125.1658 	: 	: 	: 	: 	: 
ACC,FRE,HCN,EUR_T,PL,PL	137.749 	: 	: 	119.5 	119.7318 	119.1185 	119.4829 	: 	125.1658 	: 	: 	: 	: 	: 
ACC,FRE,HCN,EUR_T,TOTAL,PL	137.749 	: 	: 	119.5 	119.7318 	119.1185 	119.4829 	: 	125.1658 	: 	: 	: 	: 	: 
ACC,FRE,HCN,TPW,EU,PL	6 	: 	: 	0.108 	1.412 	0.3 	1.231 	0.4 	1.1 	: 	: 	: 	: 	: 
ACC,FRE,HCN,TPW,PL,PL	6 	: 	: 	0.108 	1.412 	0.3 	1.231 	0.4 	1.1 	: 	: 	: 	: 	: 
ACC,FRE,HCN,TPW,TOTAL,PL	6 	: 	: 	0.108 	1.412 	0.3 	1.231 	0.4 	1.1 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR,EU,PL	826.494 	: 	: 	12.906 	169.0613 	35.7356 	147.0834 	: 	137.6824 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR,PL,PL	826.494 	: 	: 	12.906 	169.0613 	35.7356 	147.0834 	: 	137.6824 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR,TOTAL,PL	826.494 	: 	: 	12.906 	169.0613 	35.7356 	147.0834 	: 	137.6824 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR_T,EU,PL	137.749 	: 	: 	119.5 	119.7318 	119.1185 	119.4829 	: 	125.1658 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR_T,PL,PL	137.749 	: 	: 	119.5 	119.7318 	119.1185 	119.4829 	: 	125.1658 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR_T,TOTAL,PL	137.749 	: 	: 	119.5 	119.7318 	119.1185 	119.4829 	: 	125.1658 	: 	: 	: 	: 	: 
