species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
ARU,FRE_WHL,IND,TPW,TOTAL,IS	: 	150 	176 	259 	: 	178.234 	11.6 	: 	146.8 	726.1 	259.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	2058.2497 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR,EFTA,IS	168292.386 	222700.7728 	1289410.0373 	1596334.122 	752559.06 	1102775.1396 	2342162.4796 	150929.4411 	127434.0178 	198716.4765 	93423.4771 	166705.6423 	11078.9288 	4080.965 	17663.9475 	876.0312 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR,EU,IS	: 	5657.872 	: 	: 	: 	: 	: 	: 	2058.2497 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR,IS,IS	168292.386 	222700.7728 	1289410.0373 	1596334.122 	752559.06 	1102775.1396 	2342162.4796 	150929.4411 	127434.0178 	198716.4765 	93423.4771 	166705.6423 	11078.9288 	4080.965 	17663.9475 	876.0312 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR,NO,IS	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR,PL,IS	: 	5657.872 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR,TOTAL,IS	168292.386 	228358.6448 	1289410.0373 	1596334.122 	752559.06 	1102775.1396 	2342162.4796 	150929.4411 	129492.2675 	198716.4765 	358753.4037 	166705.6423 	11078.9288 	4080.965 	17663.9475 	876.0312 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR_T,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	185.4279 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR_T,EFTA,IS	295.2498 	412.4088 	583.1796 	669.3225 	442.6818 	581.7043 	813.1944 	565.4906 	410.0194 	180.1437 	178.3572 	633.3801 	312.0825 	326.4772 	706.5579 	81.114 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR_T,EU,IS	: 	128.588 	: 	: 	: 	: 	: 	: 	185.4279 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR_T,IS,IS	295.2498 	412.4088 	583.1796 	669.3225 	442.6818 	581.7043 	813.1944 	565.4906 	410.0194 	180.1437 	178.3572 	633.3801 	312.0825 	326.4772 	706.5579 	81.114 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR_T,PL,IS	: 	128.588 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,EUR_T,TOTAL,IS	295.2498 	391.0251 	583.1796 	669.3225 	442.6818 	581.7043 	813.1944 	565.4906 	402.2748 	180.1437 	325.6953 	633.3801 	312.0825 	326.4772 	706.5579 	81.114 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE_WHL,TOTAL,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	11.1 	: 	577.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,TOTAL,TPW,EFTA,IS	570 	540 	2211 	2385 	1700 	1895.766 	2880.2 	266.9 	310.8 	1103.1 	523.8 	263.2 	35.5 	12.5 	25 	10.8 	36.8 	10.6 	: 	: 	: 
